Player,Team,Age,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
David Myers,Essendon,30,Mid Forward,7,6.514,51.429,54.143,0,0,69.571,7.286,7.571,14.857,62.5,54.902,69.811,49.038,2.857,0.857,213.571,14.375,2.571,5.778,2.857,5.2,7.429,7.571,15,49.524,1.143,5.571,1.857,1.857,3.714,2.143,0,0.143,0,0.143,0.143,0.857,-0.714,0,0,0,,0,,3,0.429,0,,0.714,,1,0.143,0.286,0.714,0.143,,3.429,16.327,0.714,0,0.429,11.429,0.286
David Swallow,Gold Coast,27,Midfielder,22,10.986,88.182,87.682,33,1.5,79.136,12.818,10.318,23.136,65.619,54.61,79.295,55.403,3.682,1.773,331.864,14.344,4,5.784,5.636,4.105,11.636,11.318,22.955,50.693,2.773,7.545,1.727,3.682,5.409,3.955,0.227,0.5,0.591,0.273,1.273,1.227,0.045,0,0,0,,0,,3.818,0.455,0.273,,0.5,27.273,13,0.591,0.318,1.136,0.364,52,3.864,22.31,0.864,0.045,1.227,19.864,0.5
David Zaharakis,Essendon,29,Midfielder,20,8.705,78.95,79.5,26,1.3,81.85,11.9,8.4,20.3,74.631,68.067,83.929,58.621,2.95,1.9,313.85,15.461,2.25,9.022,3.5,5.8,6.45,13.55,20,32.25,3,5.15,0.25,1.3,1.55,4.95,0.05,0.1,0.25,0.3,0.7,0.55,0.15,0,0,0,,0,,2.8,0.25,0.25,,0.25,,6,0.3,0.1,0.65,0.35,46.154,3.9,18.527,0.7,0.25,1.05,14.35,0.7
Dawson Simpson,Greater Western Sydney,30,Ruck,9,11.778,78.556,65.889,0,0,77.667,2.556,5.222,7.778,77.143,56.522,87.234,32.857,0.667,2.222,57,7.329,1.667,4.667,0.889,8.75,5,3,8,62.5,1.556,3.444,0.778,1.667,2.444,1.333,0.111,0,0.444,0.111,1,0.778,0.222,68,68.764,33.778,49.673,11.111,32.895,2.667,0.333,0.667,,0.778,,1,0.111,0,0.222,0.222,,3.556,18.286,2.333,0,3.333,12.778,2.444
Dayne Beams,Collingwood,29,Midfielder,9,8.578,81.333,89,0,0,78.889,13.778,11.333,25.111,70.796,59.677,84.314,54.867,3.889,1.778,331.556,13.204,3.111,8.071,4.333,5.795,8.111,16.778,24.889,32.589,1.889,5,1.778,2.778,4.556,4.222,0.222,0.222,0.556,0.333,1.444,0.444,1,0,0,0,,0,,2.111,0.222,0,,0,,5,0.556,0.444,1.444,0.667,38.462,6.556,25.991,1.111,0,0.111,11.889,0.111
Dayne Zorko,Brisbane,30,Midfielder,24,14.783,107.25,104.208,62,2.583,83.333,16.833,5.5,22.333,63.619,59.901,75,75.373,6.75,1.167,520.042,23.285,4.083,5.469,4.875,4.581,10.083,12.333,22.417,44.981,2.958,6.833,1.333,2.75,4.083,3.917,0.042,0.5,0.167,0.125,1.625,1.292,0.333,0,0,0,,0,,6.667,2,0.042,,0.292,,23,0.958,0.792,2.125,0.917,45.098,6.542,25.57,1.375,0.542,1.5,27.125,0.333
Dean Kent,St Kilda,25,Med Forward,13,7.408,63.692,61.385,8,0.615,76.308,9.538,3.231,12.769,60.241,59.677,61.905,74.699,2.769,0.462,251.385,19.687,2.462,5.188,2.538,5.03,4.769,7.692,12.462,38.272,1.154,3.846,0,0.231,0.231,4.538,0.231,1.769,0,1.462,0.538,0.615,-0.077,0.231,0.249,0,,0,,1.846,0.769,0,,1.769,26.087,12,0.923,1.077,2.769,1,33.333,5.308,24.555,0.538,0.231,1.077,13.154,0.538
Declan Keilty,Melbourne,24,Key Forward,2,-0.3,37.5,38,0,0,80.5,3,4.5,7.5,,,,,2.5,0,94.5,,3.5,2.143,3,2.5,3.5,4.5,8,,0,2.5,1,0,1,1.5,0,0.5,0,0.5,0.5,1.5,-1,27.5,26.829,3.5,12.727,0.5,,4,1.5,0.5,,1.5,,0,0,0,0.5,0,,1,4.444,0,0,3.5,11.5,3.5
Derek Eggmolesse-Smith,Richmond,21,Med Defender,2,8.2,62,58,0,0,75,9.5,8,17.5,77.143,,,54.286,0,3,270,15.429,1.5,11.667,3,5.833,5,12,17,29.412,6,4.5,0,0,0,2,0,0,0.5,0,1,0.5,0.5,0,0,0,,0,,2,0,1,,0,,0,0,0,0,0,,3.5,10.938,0.5,1,0,9,0
Devon Smith,Essendon,26,Mid Forward,7,7.886,68.714,78.857,0,0,74.857,11.286,6.857,18.143,54.331,44.304,70.833,62.205,5.143,0.857,336,18.52,3.571,5.08,4.571,3.969,7,11.429,18.429,37.984,2.286,5.286,0.286,2.286,2.571,2.714,0,0.429,0.286,0.286,0.857,1.143,-0.286,0,0,0,,0,,5.714,1,0.429,,0.286,,3,0.429,0.286,1.286,0.714,,3.571,16.447,0.429,1.429,1,24,0.429
Dion Prestia,Richmond,27,Midfielder,25,15.508,103.52,100.4,75,3,81.16,15.44,12,27.44,68.222,56.218,83.667,56.268,4.88,2.32,459.76,16.755,4.24,6.472,5.6,4.9,11.56,15.84,27.4,42.19,3.52,8.52,2.12,3.72,5.84,3.44,0.04,0.24,0.4,0,1.28,1.16,0.12,0,0,0,,0,,4.92,0.48,0.12,,0.08,,7,0.28,0.6,1.16,0.64,24.138,6.52,27.487,1.92,0.12,1.08,24.32,0.2
Dom Sheed,West Coast,24,Midfielder,24,11.171,92.958,92.958,23,0.958,81,14.333,12.125,26.458,68.819,56.977,82.818,54.173,4.708,1.583,391.875,14.811,3.542,7.471,4.667,5.67,11.208,15.583,26.792,41.835,2.458,7.708,1.5,3.458,4.958,5.333,0.125,0.458,0.292,0.167,0.833,0.75,0.083,0,0,0,,0,,1.625,0.208,0.125,,0.333,,16,0.667,0.625,1.5,0.333,44.444,5.75,25.508,1.25,0.458,0.792,13.5,0.167
Dom Tyson,North Melbourne,26,Midfielder,3,5.867,75.667,76.667,0,0,68.667,9.333,12,21.333,79.688,75,83.333,43.75,1.333,2,198.667,9.312,4.667,4.571,3.333,6.4,8,13.333,21.333,37.5,2.667,6,1.667,1.667,3.333,4.667,0,0,0.333,0,1,2.333,-1.333,0,0,0,,0,,3.667,0.333,0,,0,,1,0.333,0,0.667,0,,3.667,19.298,0,0,1,13.333,0
Dougal Howard,Port Adelaide,23,Key Defender,15,9.913,69.333,54.267,7,0.467,84.533,7.6,4,11.6,74.713,68.421,86.667,65.517,1.133,1.933,195.2,16.828,1.667,6.96,2.067,5.613,5.067,6.533,11.6,43.678,4.333,2.8,0.067,0.467,0.533,4.467,1.267,0.733,1.6,0.133,0.867,0.6,0.267,4.2,4.446,0.733,17.46,0.133,,1.467,0.133,1.667,24,1.467,13.636,10,0.667,0.4,1.2,0.133,55.556,2.8,12.245,0.667,0,7.333,7.733,6.8
Doulton Langlands,St Kilda,20,Midfielder,3,6.1,53.333,57.667,0,0,67.333,6,6.333,12.333,72.973,,,48.649,1,1,157.333,12.757,2,6.167,2,6.167,3.333,9.333,12.667,26.316,2.333,3,0.333,0.333,0.667,4.667,0,1,1,0,0.333,0.667,-0.333,0,0,0,,0,,2.667,0.333,0,,0.667,,2,0.667,0,1.333,0.333,,4.333,16.25,0.667,0,1,13.333,1
Dustin Martin,Richmond,28,Mid Forward,23,16.77,101.609,95.391,90,3.913,83.435,16.391,9.696,26.087,66.167,55.172,84.753,62.833,5.609,0.478,457.87,17.552,4.913,5.31,5.478,4.762,10.609,14.783,25.391,41.781,1.87,6.957,2.391,1.87,4.261,4.174,0.783,0.913,0.304,0.565,0.783,1.739,-0.957,0,0,0,,0,,2.435,0.435,0.087,,2.174,42,32,1.391,0.652,2.609,1,53.333,7.348,30.672,1.261,0.913,1.174,13.913,0.435
Dylan Clarke,Essendon,21,Midfielder,11,6.973,64.818,66.182,6,0.545,81.727,6.182,9.273,15.455,74.706,55.882,87.255,40,2.545,0.636,136.182,8.812,2.727,5.667,2.545,6.071,6.455,9.091,15.545,41.52,2,5.364,1,1.455,2.455,2,0.091,0.182,0.091,0,0.545,1,-0.455,0,0,0,,0,,6.364,0.818,0.182,,0.364,,0,0,0.091,0.091,0.182,,2.727,13.514,0.273,0,0.909,20.273,0.273
Dylan Grimes,Richmond,28,Key Defender,24,9.975,74.167,56.667,31,1.292,93,7.167,5.75,12.917,84.516,82.558,86.957,55.484,0.625,2.833,151.875,11.758,1.542,8.378,1.5,8.611,5.333,7.333,12.667,42.105,6.833,3.042,0,0.208,0.208,5.375,1.208,0,2.333,0,1,0.708,0.292,0,0,0,,0,,2.167,0,3.625,20.69,0.042,,0,0,0,0,0.083,,2.125,8.995,1.292,0.708,6.333,8.5,5.333
Dylan Moore,Hawthorn,20,Med Forward,7,6.114,56.143,54.143,0,0,68.857,5.143,6.714,11.857,79.518,69.444,87.234,43.373,2.143,0.571,115,9.699,1.571,7.545,2,5.929,4.857,7.857,12.714,38.202,2.143,3.429,0.286,0.429,0.714,4.429,0.571,0.429,0.286,0.571,0.714,0.714,0,0,0,0,,0,,2.857,1.143,0,,0.143,,2,0.286,0.286,0.857,1,,3.571,17.007,0.571,0.143,0.714,13.143,0.286
Dylan Shiel,Essendon,26,Midfielder,22,14.027,97.727,98.318,34,1.545,78.591,14.136,12.045,26.182,66.319,53.376,81.509,53.993,4.955,1.727,451.773,17.255,3.455,7.579,5.091,5.143,11.091,14.636,25.727,43.11,2.364,7.636,2.545,2.727,5.273,3.136,0.091,0.091,0.273,0.136,1.273,0.545,0.727,0,0,0,,0,,4.909,0.455,0.136,,0.136,,9,0.409,0.682,1.545,0.455,26.471,5.636,26.724,1.409,1.045,1.045,21.682,0.136
Dyson Heppell,Essendon,27,Midfielder,18,12.228,95.667,94.222,22,1.222,80.667,12.778,13.5,26.278,69.556,58.261,80.247,48.626,3.722,1.5,340.722,12.966,3.556,7.391,5.222,5.032,11.722,15.222,26.944,43.505,4.889,8.333,1.111,2.667,3.778,5.444,0.556,0.333,1.056,0.278,1.222,0.611,0.611,0,0,0,,0,,2.889,0.222,0.5,,0.667,33.333,4,0.222,0.278,0.778,0.444,28.571,5.056,24.397,1.333,0.167,1.278,15.5,0.333
Easton Wood,Western Bulldogs,30,Med Defender,23,7.252,54.043,47.043,2,0.087,85.261,7.609,4,11.609,79.775,73.714,91.304,65.543,0.826,2.391,175.174,15.09,2.478,4.684,2.261,5.135,4.348,7.522,11.87,36.63,5.522,2.522,0,0.217,0.217,4.348,0.565,0,1.826,0,1.087,1.13,-0.043,0,0,0,,0,,1.348,0,1.783,41.463,0.13,,0,0,0.087,0.13,0.087,,1.957,8.021,1,0.174,6.043,7.913,5.174
Ed Curnow,Carlton,30,Midfielder,22,10.491,90.818,89.864,27,1.227,83.636,12.136,10.409,22.545,63.105,46.816,82.096,53.831,3.091,1.409,298,13.218,3,7.515,4.591,4.911,10.364,11.864,22.227,46.626,3.091,8.045,1.364,3.273,4.636,3.818,0.091,0.318,0.091,0.227,0.864,0.955,-0.091,0,0,0,,0,,5.091,0.682,0.136,,0.409,,9,0.409,0.364,0.864,0.636,47.368,5.091,24.67,1.045,0.136,1.091,14.682,0.273
Ed Langdon,Fremantle,23,Midfielder,22,9.327,85.864,92.091,16,0.727,85.955,14.545,10.455,25,70.182,60,84.348,58.182,3.591,3,436.227,17.449,2.273,11,4.591,5.446,7.091,17.273,24.364,29.104,4.182,6.045,0.318,1.227,1.545,5.955,0.364,0.364,0.5,0.273,0.364,0.409,-0.045,0,0,0,,0,,1.909,0.273,0.318,,0.273,,9,0.409,0.455,1.136,0.318,36,4.455,21.586,0.864,0.455,0.455,13.864,0.318
Ed Phillips,St Kilda,21,Midfielder,4,6.275,63.25,54.5,0,0,72.5,8.5,6.75,15.25,78.689,85.294,70.37,55.738,1.25,1.25,221.25,14.508,2.75,5.545,1.75,8.714,6,9.5,15.5,38.71,2,5,1,0.5,1.5,4,0,0.5,0.5,0,0.5,1.25,-0.75,0,0,0,,0,,1.25,0,0,,0,,1,0.25,0.25,0.5,0.5,,3.75,17.045,0.5,0.25,0.75,11.5,0.5
Ed Richards,Western Bulldogs,20,Mid Forward,20,7.885,49.7,50.3,0,0,75.05,6.9,4.75,11.65,70.386,60.87,84.211,59.227,2.35,0.7,193.1,16.575,1.65,7.061,1.95,5.974,4.3,7.3,11.6,37.069,1.9,3.35,0.1,0.35,0.45,2.8,0.1,0.3,0.2,0.35,0.6,0.55,0.05,0,0,0,,0,,2.35,0.5,0.5,10,0.65,23.077,9,0.45,0.65,1.25,0.5,36,3.75,15.244,0.7,0.2,1.45,14.65,0.5
Ed Vickers-Willis,North Melbourne,23,Med Defender,1,0.6,1,-1,0,0,13,0,1,1,,,,,0,0,-4,,1,1,0,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,1,2,1
Eddie Betts,Adelaide,33,Med Forward,21,10.505,62.143,58.667,16,0.762,84.619,7.381,4.571,11.952,62.948,47.742,87.5,61.753,1.381,0.143,163.476,13.677,2.286,5.229,2.762,4.328,6.571,4.952,11.524,57.025,0.952,5,0.143,0.952,1.095,2.333,0.714,1.381,0,0.619,0.619,0.571,0.048,0,0,0,,0,,2.476,1.19,0,,2,40.476,37,1.762,1,3.476,0.857,50.685,5.619,24.532,0.619,0.048,0.524,12.429,0.286
Elliot Yeo,West Coast,26,Midfielder,23,15.4,105.13,101.913,67,2.913,80.957,14.043,9.696,23.739,64.286,56.037,76.233,59.158,5.478,1.435,421.087,17.738,4.304,5.515,5.783,4.105,13.087,11,24.087,54.332,3.261,8.304,2.565,3.696,6.261,3.652,0.696,0.087,0.652,0.217,1.652,1.609,0.043,0,0,0,,0,,7.304,0.87,0.217,,0.522,41.667,11,0.478,0.522,1.348,0.609,35.484,5.609,24.808,1.913,0.522,2.783,25.217,0.783
Elliott Himmelberg,Adelaide,21,Key Forward,7,7.514,56.857,59.143,0,0,83.714,5.429,4.143,9.571,65.672,60.526,72.414,56.716,2,0.286,138.571,14.478,2.143,4.467,2.571,3.722,5.429,4.143,9.571,56.716,1,3.714,0.429,0.714,1.143,3.429,0.571,0.857,0.286,0.714,1,1.143,-0.143,18.571,18.182,6.143,33.077,2.286,37.209,3.286,0.857,0,,2.857,15,8,1.143,0.571,2,0.286,57.143,3.857,16.981,1.571,0,0.857,12,0.714
Eric Hipwood,Brisbane,22,Key Forward,23,5.739,53.652,56.217,11,0.478,84.696,7.913,2.217,10.13,58.798,52.747,80.392,78.112,2.13,0.217,237.652,23.459,3.261,3.107,3,3.377,3.739,6.261,10,37.391,0.652,1.87,0,0.043,0.043,4.652,1.217,2.043,0.13,1.217,0.522,1.391,-0.87,0.217,0.219,0.043,,0,,1.826,1,0.087,,2.478,24.561,35,1.522,1.261,3.435,0.391,44.304,5.174,20.273,0.217,0.13,1.478,7.348,1
Esava Ratugolea,Geelong,21,Key Forward,20,6.51,61.25,51.1,3,0.15,72.95,5.15,3.6,8.75,66.286,61.165,73.611,58.857,1.5,0.2,146.55,16.749,1.4,6.25,1.9,4.605,6.3,2.9,9.2,68.478,1.35,2.8,0.4,0.85,1.25,2.65,1.7,1,0.35,0.3,1.7,0.65,1.05,17.5,18.807,6.3,36,1.75,27.778,2.3,0.7,0.25,,4.2,29.762,15,0.75,0.75,1.7,0.2,44.118,3.35,14.165,0.9,0,1.35,7.75,1
Ethan Hughes,Fremantle,25,Med Defender,21,7.881,67.048,58.095,0,0,81.333,8.381,7.571,15.952,78.209,70.455,86.792,52.537,1.143,1.905,172.429,10.809,2.762,5.776,3,5.317,6.81,9.571,16.381,41.57,6.429,5.19,0.095,0.571,0.667,4.762,0.714,0.095,1.524,0.095,0.714,1,-0.286,0.048,0.055,0,,0,,1.286,0,1.571,33.333,0.095,,2,0.095,0.095,0.238,0.048,,2.905,14.088,1.238,0,4.333,9.524,3.286
Fletcher Roberts,Western Bulldogs,26,Key Defender,2,6.75,44,35,0,0,96,5,4,9,,,,,0.5,1.5,105.5,,1.5,6,2,4.5,3.5,5,8.5,,6,1.5,0,0.5,0.5,2,0,0,1.5,0,1.5,0.5,1,0,0,0,,0,,1.5,0,3,,0,,0,0,0,0,0,,1,3.922,0.5,0,5.5,6.5,5
Flynn Appleby,Collingwood,20,Med Defender,1,1.7,21,25,0,0,83,3,4,7,,,,,0,1,29,,3,2.333,1,7,3,4,7,,2,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,,0,,1,0,4,,0,,0,0,0,0,0,,1,5,0,0,1,6,1
Francis Watson,West Coast,24,Med Defender,2,6.7,67,64,0,0,82,9.5,4,13.5,74.074,,,70.37,1.5,3,206.5,15.296,1.5,9,2.5,5.4,4.5,10,14.5,31.034,6,3.5,0,0.5,0.5,6,0,0,2,0,1,0.5,0.5,0,0,0,,0,,2.5,0,1,,0,,0,0,0,0,0,,2.5,9.615,1,0,2,12.5,2
Gary Ablett,Geelong,35,Med Forward,24,13.508,92.75,86.25,49,2.042,87.917,12.208,7.875,20.083,67.427,63.14,74.074,60.788,4.75,0.875,378.042,18.824,3.75,5.356,4.708,4.265,8.292,12.208,20.5,40.447,1.417,6.583,0.417,1.625,2.042,3.708,0.417,1,0.042,0.792,0.75,1.75,-1,0,0,0,,0,,4.5,0.958,0.083,,1.208,34.483,34,1.417,0.75,2.792,0.833,50.746,6.708,28.295,0.708,0.25,0.708,14.125,0.208
Gary Rohan,Geelong,28,Med Forward,19,8.126,58.737,48.053,11,0.579,77.105,6.579,1.947,8.526,72.222,70.4,78.378,77.16,2.211,0.105,184.474,21.636,1.842,4.629,2.211,3.857,4.263,4.474,8.737,48.795,1.158,2.526,0,0.211,0.211,3.421,1.053,1.421,0.053,1,0.684,0.737,-0.053,0.105,0.109,0.053,,0,,1.789,0.947,0.053,,2.211,21.429,25,1.316,0.579,2.263,0.789,58.14,4.526,19.369,0.474,0,1.368,13.316,0.895
George Hewett,Sydney,24,Midfielder,22,10.882,87.955,75.227,17,0.773,82.182,8.636,13.227,21.864,73.597,58.421,83.505,39.501,1.773,1.227,186.773,8.543,2.636,8.293,3.864,5.659,10.909,11.318,22.227,49.08,3.636,9,1.636,2.364,4,2.545,0.136,0,0.455,0.091,0.955,1.273,-0.318,0,0,0,,0,,4.455,0.364,0.091,,0.182,,1,0.045,0,0.091,0.273,,3.773,17.811,1.227,0.045,0.955,18.5,0.455
George Horlin-Smith,Gold Coast,27,Med Defender,7,4.714,45.286,46.714,0,0,76.571,5.857,6,11.857,72.289,63.415,80.952,49.398,1.143,1,150.571,12.699,2.143,5.533,2.857,4.15,4,8.143,12.143,32.941,3,3,0,0.571,0.571,2.429,0.429,0.286,0.429,0,0.714,0.857,-0.143,0,0,0,,0,,2.429,0.286,0.571,,1,,2,0.286,0.286,0.571,0,,2,12.069,0.571,0.143,1,12.714,0.571
Grant Birchall,Hawthorn,31,Med Defender,3,10.133,77,73,0,0,61,11.667,9,20.667,79.032,71.429,88.889,56.452,1.333,2.667,261.333,12.645,1.667,12.4,2.333,8.857,6.667,13.333,20,33.333,7,6.333,0,0.667,0.667,5.333,0.333,0.333,1,0,0,0.333,-0.333,0,0,0,,0,,0.667,0,1,,0,,1,0.333,0.333,0.667,0,,2.333,10.294,0.333,0,1.333,5.333,0.333
Griffin Logue,Fremantle,21,Key Defender,10,8.54,62.6,50.1,0,0,93.6,6.6,5.4,12,76.667,66.667,88.889,55,0.6,2.8,164.8,13.733,1.8,6.667,2.4,5,5.3,7.2,12.5,42.4,6.4,3.2,0,0,0,4.5,1.1,0,2,0.1,0.5,0.7,-0.2,0,0,0,,0,,1.9,0,2.5,16,0,,0,0,0,0,0,,2.2,10.945,0.9,0.2,6.8,8.2,5
Gryan Miers,Geelong,20,Med Forward,25,9.084,67.04,66.52,8,0.32,84.72,9.16,6.24,15.4,65.714,64.629,67.308,59.481,2.68,0.72,248.56,16.14,2.2,7,3.04,5.066,5.08,10.12,15.2,33.421,1.8,4.28,0.12,0.48,0.6,3.92,0.12,1.04,0.32,0.16,0.72,0.36,0.36,0,0,0,,0,,1.92,0.44,0,,0.36,,28,1.12,0.76,2.04,0.72,54.902,5.2,22.071,0.92,0.2,0.44,14.84,0.16
Hamish Hartlett,Port Adelaide,29,Med Defender,11,9.4,80.091,76.364,1,0.091,83.273,12,7.273,19.273,74.528,68.182,85,62.264,3.091,3.182,307.818,15.972,1.455,13.25,3.455,5.579,6,12.364,18.364,32.673,7.182,4.636,0.273,0.455,0.727,4.364,0.273,0,1.818,0,1.182,0.455,0.727,0,0,0,,0,,3.182,0.091,1.455,37.5,0,,0,0,0.182,0.273,0.091,,2.545,11.111,1.182,0.091,2.273,9.909,1.818
Harris Andrews,Brisbane,23,Key Defender,21,11.881,80.619,54.333,32,1.524,95.333,7.762,5.048,12.81,81.413,77.914,86.792,60.595,1,2.476,150.857,11.777,1.905,6.725,1.952,6.561,5.857,7.048,12.905,45.387,7.095,3.619,0,0.048,0.048,5.524,1.571,0,2.81,0.048,0.524,0.81,-0.286,0,0,0,,0,,1.571,0,4.667,25.51,0.095,,0,0,0,0,0.095,,1.571,6.25,0.905,0.095,10.714,7.714,9.857
Harrison Macreadie,Carlton,21,Key Defender,1,2.5,14,8,0,0,90,2,0,2,,,,,1,1,66,,1,2,1,2,2,0,2,,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,,1,0,4,,0,,0,0,0,0,0,,0,0,0,0,2,10,2
Harrison Petty,Melbourne,20,Key Forward,10,4.72,53.1,49,0,0,75,5.5,3.8,9.3,76.344,67.273,89.474,59.14,0.9,1.3,120.8,12.989,1.5,6.2,1.5,6.2,3.3,6,9.3,35.484,2.2,1.3,0,0.2,0.2,4.3,0.9,0.6,0.9,0.3,1.2,0.6,0.6,0.4,0.452,0.1,,0.1,,2.1,0.6,1.2,16.667,1.6,31.25,6,0.6,0.5,1.1,0.4,54.545,2.6,12.5,0.4,0,3,8.4,2.8
Harry Cunningham,Sydney,26,Med Defender,9,8.967,80.333,80.667,0,0,80.667,13.444,7,20.444,82.065,79.339,87.302,65.761,2.667,4.444,416.556,20.375,2.111,9.684,3.778,5.412,3.778,15.778,19.556,19.318,4,2.889,0.222,0.444,0.667,5.778,0.222,0,0.889,0,0.444,0.889,-0.444,0,0,0,,0,,2.778,0.111,1.111,40,0,,0,0,0.111,0.111,0.111,,3.889,18.617,0.667,1.556,1.556,12.556,1
Harry Himmelberg,Greater Western Sydney,23,Key Forward,25,10.376,72.96,58.2,10,0.4,88.72,6.76,5.12,11.88,79.798,73.964,87.5,56.902,2.04,0.08,157.08,13.222,2.28,5.211,2.04,5.824,5.64,6.8,12.44,45.338,0.88,3.4,0.12,0.4,0.52,4.2,1.04,1.6,0.04,1.28,0.76,1.04,-0.28,1.12,1.14,0.16,14.286,0.04,,1.92,0.84,0.12,,3.92,25.51,38,1.52,0.48,2.04,1.08,74.51,5.52,23.63,0.52,0.2,3.16,8.68,2.52
Harry McKay,Carlton,22,Key Forward,20,6.81,61.65,61.4,14,0.7,85.8,8.05,2.3,10.35,61.836,57.764,76.087,77.778,1.95,0.05,226.85,21.918,2.45,4.224,2.85,3.632,5.3,5.5,10.8,49.074,0.4,1.65,0.05,0.15,0.2,6.25,2.25,2.25,0.2,2.15,1.1,1.3,-0.2,4.8,4.99,1,20.833,0.15,15,1.6,0.75,0,,3.7,39.189,26,1.3,1.5,3.25,0.1,40,4.8,23.704,0.25,0.25,1.75,7.15,1.2
Harry Morrison,Hawthorn,21,Midfielder,9,6.544,52.889,53.667,0,0,76.111,7.111,5.778,12.889,75,67.188,84.615,55.172,2.222,0.444,201.556,15.638,1.444,8.923,2.222,5.8,4.111,9,13.111,31.356,1.889,3.444,0.111,0.889,1,3,0.222,0.111,0.444,0.222,0.444,0.556,-0.111,0,0,0,,0,,3.222,0.556,0.111,,0.222,,0,0,0.111,0.222,0.111,,2.889,13.472,0.667,0.111,0.778,16.111,0.444
Harry Perryman,Greater Western Sydney,21,Midfielder,19,7.963,78.526,77.053,0,0,77.421,11.263,7.105,18.368,71.347,65.421,80.741,61.318,2,2.158,246.947,13.444,2.263,8.116,3.158,5.817,6.474,12.158,18.632,34.746,4.316,5.211,0.053,0.895,0.947,5.263,0.263,0.316,0.947,0.105,0.632,0.263,0.368,0,0,0,,0,,3.105,0.474,0.474,,0.526,10,2,0.105,0.368,0.632,0.211,16.667,3.211,14.252,0.632,0,1.579,12.474,0.895
Harry Taylor,Geelong,33,Key Defender,24,9.846,68.875,56.25,4,0.167,87.833,7.75,6.042,13.792,77.946,73.656,83.448,56.193,1.167,2.667,171.167,12.411,1.583,8.711,2,6.896,6.167,7.583,13.75,44.848,6.375,4.125,0,0.333,0.333,4.75,0.875,0.167,1.792,0,0.583,0.5,0.083,0.125,0.132,0.083,,0,,1.667,0.042,2.417,25.862,0.125,,3,0.125,0.083,0.25,0.167,,2.333,9.773,0.75,0.083,5.042,6.583,4.125
Hayden Ballantyne,Fremantle,32,Med Forward,3,4.867,46.667,48.333,0,0,73,7.667,3.333,11,63.636,60.87,,69.697,2.667,0,216,19.636,1.333,8.25,3.333,3.3,4,8,12,33.333,0.667,2.333,0.333,0.333,0.667,2.667,0,0.333,0,0.333,0.667,0.333,0.333,0,0,0,,0,,2,0.667,0,,1,,1,0.333,1,1.667,0.333,,3.667,14.286,0,0,2,12,1.333
Hayden Crozier,Western Bulldogs,26,Med Defender,22,8.8,75.091,71.091,8,0.364,83.136,11.682,4.909,16.591,82.192,80.545,86.111,70.411,1.864,3.545,334.864,20.184,1.545,10.735,3,5.53,4.636,11.455,16.091,28.814,5.955,2.773,0,0.227,0.227,6.182,0.727,0.091,1.909,0,1.045,0.455,0.591,0,0,0,,0,,2,0,1.455,21.875,0.182,,0,0,0,0.091,0.045,,2.727,11.132,1.182,0.182,3.955,7.5,3.364
Hayden McLean,Sydney,20,Ruck,4,6.15,61,64.75,0,0,82,5.75,5,10.75,76.744,65.217,90,53.488,1,1,110.5,10.279,3,3.583,2.5,4.3,4.5,5.75,10.25,43.902,1.75,3.5,1,1.5,2.5,3,0,0.25,0.25,0,1.25,1.75,-0.5,60.25,67.131,13.25,21.992,3.75,28.302,4.75,0.5,1,,0.75,,0,0,0.25,0.25,0.25,,2.5,12.821,1,0,2.75,17.75,2.5
Heath Grundy,Sydney,33,Key Defender,1,4.9,55,48,0,0,70,7,4,11,,,,,1,2,153,,3,3.667,4,2.75,6,6,12,,4,2,1,1,2,3,0,0,0,0,2,1,1,6,7.792,3,,1,,2,0,1,,2,,0,0,0,0,0,,2,10,1,0,4,6,3
