Player,Team,Age,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Pearce Hanley,Gold Coast,31,Med Defender,16,8.294,77.312,76.438,1,0.062,81.125,13.75,6.75,20.5,73.476,71.364,77.778,67.073,2.5,4.938,392.875,19.165,3.188,6.431,4.625,4.432,5.375,12.812,18.188,29.553,4.688,4.312,0.188,1.062,1.25,4.75,0.188,0,0.812,0.125,0.562,0.938,-0.375,0,0,0,,0,,2.312,0.062,0.438,,0.062,,1,0.062,0.062,0.25,0.188,,2.75,15.827,0.75,1.188,1.125,12.375,0.688
Peter Ladhams,Port Adelaide,21,Ruck,5,11.2,75.2,65.6,3,0.6,77.2,6.4,8.2,14.6,72.603,59.375,82.927,43.836,2.2,1.2,148.2,10.151,1.6,9.125,2.2,6.636,8.8,6.6,15.4,57.143,1.8,5.8,1.4,2,3.4,1.8,0.2,0.4,0.2,0,1.4,0.8,0.6,35,39.15,14.8,42.286,3.8,25.676,2,0.4,0.8,,2.2,0,2,0.4,0.4,1.2,0.4,,4.4,19.643,1.8,0,3.6,11.2,2.8
Peter Wright,Gold Coast,23,Key Forward,17,8.676,68,68.588,0,0,85.647,8.471,3.529,12,70.588,65.278,83.333,70.588,2,0.412,219,18.25,1.824,6.581,2.059,5.829,4.765,7.176,11.941,39.901,0.765,2.353,0.118,0.706,0.824,5,1.059,1.235,0.118,1.471,1.059,0.412,0.647,15.824,15.129,6.765,42.751,1.471,21.739,1.588,0.529,0.176,,3.882,27.273,21,1.235,0.765,2.294,0.294,53.846,4.353,24.183,0.647,0,4,9.118,3.353
Phil Davis,Greater Western Sydney,29,Key Defender,23,9.339,76.348,63.478,13,0.565,87.435,8.522,5.217,13.739,81.329,76.531,89.167,62.025,0.913,2.913,162.087,11.797,2.174,6.32,1.739,7.9,5.13,8.478,13.609,37.7,8.304,2.696,0,0.043,0.043,7.043,1.13,0,3.783,0.043,1.217,0.826,0.391,0,0,0,,0,,1.826,0.043,3.957,23.077,0.087,,1,0.043,0.043,0.087,0.087,,2.348,10.547,1.609,0.087,7.13,6.261,6.087
Quinton Narkle,Geelong,22,Midfielder,6,9.667,80,68.167,11,1.833,64.167,9.833,7.333,17.167,68.932,59.322,81.818,57.282,2.833,1.333,291.167,16.961,1.667,10.3,3,5.722,6.833,10.333,17.167,39.806,0.667,5.333,0.833,2.667,3.5,2.333,0,0.5,0.333,0,0.833,0.5,0.333,0,0,0,,0,,3,0.667,0,,0,,5,0.833,0.667,2,0.5,41.667,5.5,23.239,1.333,0.333,0.833,10.167,0.333
Reece Conca,Fremantle,27,Midfielder,22,6.355,68.5,74.773,1,0.045,75.5,12.818,7.5,20.318,63.982,54.255,80.606,63.087,2.636,2.682,314.091,15.459,3.364,6.041,4.091,4.967,6.864,11.727,18.591,36.919,3.045,5.318,0.955,2.091,3.045,3.091,0,0.045,0.045,0.045,0.818,1.273,-0.455,0,0,0,,0,,3.591,0.227,0.773,29.412,0,,2,0.091,0.136,0.364,0.273,,3.455,16.74,0.818,0.273,1.773,12.591,1.091
Reilly O'Brien,Adelaide,24,Ruck,18,11.939,95.278,95.333,26,1.444,83.889,7,8.333,15.333,64.493,49.206,77.333,45.652,2.167,1.278,154.722,10.091,3.611,4.246,3.056,5.018,10.278,5.556,15.833,64.912,3.111,5.167,1.111,3.167,4.278,3.333,1.333,0.222,1.611,0.111,1.833,1.778,0.056,76.333,81.737,33.167,43.45,8.556,25.796,4.278,0.611,0.889,31.25,1.222,40.909,2,0.111,0.222,0.389,0.111,,4.167,18.473,2.722,0,2.722,15.167,1.944
Rhylee West,Western Bulldogs,19,Med Forward,3,10.333,59,44.333,0,0,75.667,5.333,7.333,12.667,76.316,,72.727,42.105,1.667,0.333,145.333,11.474,1.667,7.6,1.667,7.6,7.333,5,12.333,59.459,1.333,6.333,0,0.333,0.333,2.333,0.667,0,0,0.333,0.667,0.667,0,0,0,0,,0,,1,0.667,0,,1,,2,0.667,0,0.667,0.667,,3,11.392,0.333,0,1.333,11.333,0.333
Rhys Mathieson,Brisbane,22,Mid Forward,9,5.811,59.889,56.556,0,0,73.222,7.667,7.556,15.222,67.153,63.768,70.588,50.365,2.444,0.889,206,13.533,3.556,4.281,2.889,5.269,7.222,8.444,15.667,46.099,1.333,5.222,0.667,1.889,2.556,2.556,0.222,0.222,0,0.333,0.667,1.778,-1.111,0,0,0,,0,,3.111,0.778,0.111,,0.778,,4,0.444,0.333,1.111,0.111,40,3.778,15.247,1,0,1.333,14.111,0.556
Rhys Stanley,Geelong,29,Ruck,18,11.922,86.444,80.389,4,0.222,81.778,7.667,6.167,13.833,68.675,63.043,75.676,55.422,3.111,0.944,208.667,15.084,3.722,3.716,2.778,4.98,7.056,6.889,13.944,50.598,1.889,3.722,1.389,1.833,3.222,2.944,0.778,0.611,0.667,0.278,1.111,1.889,-0.778,65.222,68.776,27.833,42.675,7.056,25.349,2.556,0.222,0.889,31.25,1.056,21.053,7,0.389,0.389,1.056,0.333,36.842,4.222,17.512,2.278,0.056,5.222,13.111,4.056
Richard Douglas,Adelaide,32,Med Forward,9,5.644,54.667,59.222,0,0,81.556,9.333,5.778,15.111,63.971,55.952,76.923,61.765,2.556,0.889,225.778,14.941,2.778,5.44,3.778,4,4.778,10.222,15,31.852,1.556,3.111,0.222,1,1.222,3,0.333,0.444,0.333,0.222,0.556,0.444,0.111,0,0,0,,0,,2.444,0.333,0,,1.333,8.333,2,0.222,0.333,0.667,0.667,,3.889,18.617,0.889,0,1,22.444,0.222
Ricky Henderson,Hawthorn,31,Midfielder,22,11.977,94.818,96.818,45,2.045,81.318,15.136,9.455,24.591,75.231,69.97,83.654,61.553,4.227,2.136,436.773,17.762,2.545,9.661,4.045,6.079,6.091,18.182,24.273,25.094,4.045,4.545,0.227,1.727,1.955,7.227,0.364,0.455,0.955,0.364,0.591,0.591,0,0,0,0,,0,,2.091,0.182,0.364,,0.273,,12,0.545,0.364,1,0.727,54.545,5,22.358,0.864,0.455,1.682,14.591,0.955
Riley Bonner,Port Adelaide,22,Med Defender,19,7.289,69.158,66.684,8,0.421,81.947,13,4.895,17.895,75.588,70.445,89.247,72.647,3.579,2.842,389.842,21.785,2.474,7.234,4.158,4.304,4.421,12.684,17.105,25.846,4.211,3.632,0.158,0.632,0.789,4.316,0.158,0.053,0.737,0.105,0.263,0.947,-0.684,0,0,0,,0,,1.421,0,1.105,33.333,0,,5,0.263,0.263,0.579,0.211,45.455,3.737,15.604,0.895,0.316,2.105,10.368,1.579
Riley Knight,Adelaide,24,Med Forward,15,5.98,63.4,71.733,0,0,79.267,7.6,8.067,15.667,69.787,57.018,81.818,48.511,2,0.667,172.933,11.038,2.133,7.344,3.133,5,4.867,10.467,15.333,31.739,2,4.133,0.067,1.067,1.133,4.867,0.067,0.6,0.133,0.6,0.533,0.667,-0.133,0,0,0,,0,,3.933,1.133,0.2,,0.4,,9,0.6,0.333,1.133,0.333,52.941,4.333,18.841,0.867,0.067,1.133,16,0.6
Roarke Smith,Western Bulldogs,23,Midfielder,5,5.22,52.8,52,0,0,76.6,7,4.8,11.8,66.102,57.143,79.167,59.322,1.6,1,161.2,13.661,2.2,5.364,2.6,4.538,4.8,7,11.8,40.678,2.2,3.2,0,0.8,0.8,2.6,0,0.8,0.6,0.2,0.8,0.6,0.2,0,0,0,,0,,2.4,0.2,0.2,,0.6,,4,0.8,0.2,1,0.2,,3,14.563,0.8,0.4,2.6,12.4,0.8
Robbie Fox,Sydney,26,Med Defender,11,6.791,55,52.364,0,0,75.364,5.909,5.727,11.636,75,67.692,82.54,50.781,1.364,1.091,163.364,14.039,2.455,4.741,3.364,3.459,4.364,7.545,11.909,36.641,2.273,3.455,0.182,0.727,0.909,2.273,0.182,0.091,0.364,0,0.455,1,-0.545,2.727,2.879,0.091,3.333,0.091,,4.273,0.091,0.636,,0.273,,3,0.273,0.091,0.636,0.182,,2.091,10.088,0.455,0.273,1.545,16,0.909
Robbie Gray,Port Adelaide,31,Mid Forward,19,12.926,83.421,81.368,34,1.789,83,9.947,12.211,22.158,64.608,50.265,76.293,44.893,3.474,0.579,261.579,11.805,3.211,6.902,3.737,5.93,10.737,11.632,22.368,48,2.158,5.947,1.526,2.579,4.105,3.737,0.474,1.263,0.368,0.895,1.737,1,0.737,0,0,0,,0,,2.211,0.421,0.105,,1.947,37.838,24,1.263,0.737,2.474,0.684,51.064,6.263,26.154,0.895,0.368,1.211,11.684,0.105
Robbie Tarrant,North Melbourne,30,Key Defender,22,8.064,82.455,65.045,9,0.409,90.455,10.5,5.273,15.773,85.591,85.281,86.207,66.571,1.182,4.455,271.182,17.193,2.409,6.547,2.818,5.597,5,10.227,15.227,32.836,6.455,3.227,0.045,0.091,0.136,6.227,0.818,0,2.136,0,0.591,1.091,-0.5,0,0,0,,0,,1.682,0,2.864,30.159,0.091,,1,0.045,0,0.045,0.136,,2.318,10.22,1.182,0,7,7.227,6.318
Robbie Young,St Kilda,24,Med Forward,3,3.533,39.667,37,0,0,66.667,5.333,1.333,6.667,65,,,80,1.667,0,140,21,1.333,5,2,3.333,2.667,3.667,6.333,,2,1.333,0,0,0,1.333,0,0,0.333,0.667,1.667,0.333,1.333,0,0,0,,0,,2.333,0.333,0.333,,0.333,,2,0.667,0.333,1,0.667,,3,13.235,0.667,0.333,0.667,11.667,0
Rory Atkins,Adelaide,25,Midfielder,20,8.76,75.5,81.4,10,0.5,84.7,14.8,6.75,21.55,69.374,60.135,89.63,68.677,3.85,2.45,404.6,18.775,2.95,7.305,4.25,5.071,5.2,16.35,21.55,24.13,3.15,4.7,0.35,1.1,1.45,5.75,0.05,0.1,0.45,0.2,0.2,0.8,-0.6,0,0,0,,0,,1.55,0.25,0.45,,0.15,,6,0.3,0.45,0.95,0.4,31.579,5.05,22.149,0.95,0.75,1.05,15.05,0.65
Rory Laird,Adelaide,26,Med Defender,22,9.8,96.818,96.909,20,0.909,86.682,14.636,13.682,28.318,81.059,71.739,91.03,51.685,2.136,5.045,353.682,12.49,1.864,15.195,4.045,7,7.227,19.455,26.682,27.087,7.227,6.182,0.182,0.591,0.773,5.682,0.227,0,1.227,0,0.955,0.318,0.636,0,0,0,,0,,2.136,0.045,1.136,28,0.045,,0,0,0.045,0.045,0.318,,3.909,17.339,1.182,0.227,1.364,9.182,0.955
Rory Lobb,Fremantle,26,Ruck,15,12.98,87.067,79.4,6,0.4,91,7.933,5.2,13.133,61.421,56.303,69.231,60.406,2.133,1,228.467,17.396,2.467,5.324,3.2,4.104,8.333,5.333,13.667,60.976,2.933,4.133,1.267,1.333,2.6,4.067,2.133,1,1.4,0.333,1.4,0.667,0.733,51.333,61.111,21.267,41.429,6.667,31.348,1.6,0.2,0.8,33.333,2.733,34.146,13,0.867,0.733,1.6,0.4,54.167,4,19.231,1.467,0,4.8,11.267,4.133
Rory Sloane,Adelaide,29,Midfielder,22,14.5,103,99.818,33,1.5,78.591,12.091,12.5,24.591,69.686,57.519,81.455,49.168,3.818,1.636,328.636,13.364,3.682,6.679,4.5,5.465,13.091,11.909,25,52.364,3.591,8.273,2.136,3.818,5.955,4.409,0.364,0.682,0.909,0.318,1.727,1.091,0.636,0,0,0,,0,,5.864,0.864,0.091,,0.318,,11,0.5,0.409,1.091,0.227,45.833,5.636,25,1.773,0.091,2.545,24.636,1.091
Rowan Marshall,St Kilda,24,Ruck,20,15.295,110.25,98.85,25,1.25,86.15,9.9,7.85,17.75,70.704,66.667,75.796,55.775,3.3,1.2,254.95,14.363,3.3,5.379,2.8,6.339,11.35,7.15,18.5,61.351,3.2,5.55,2,3.5,5.5,4.15,1.05,0.45,1.4,0.25,1.8,1.85,-0.05,68.5,74.659,28.45,41.533,7.45,26.186,3.45,0.15,1.2,41.667,1.25,28,8,0.4,0.1,0.55,0.3,72.727,4.8,21.719,2.8,0,2.45,11.05,1.85
