Player,Team,Age,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Curtly Hampton,Greater Western Sydney,20,18,6.439,64.944,64.333,6,0.333,81.667,9.111,6.5,15.611,70.819,68.902,73.504,58.363,1.5,3.722,283,18.128,2.556,6.109,3,5.204,4.722,9.667,14.389,32.819,3.556,3.5,0.056,0.667,0.722,4,0.278,0.056,0.611,0.056,0.889,1,-0.111,0.056,0.059,0.056,,0.056,,3.222,0.111,1.056,26.316,0,,3,0.167,0.167,0.444,0.222,,2.833,15.089,0.944,1.833,1.444,11.667,1.222
Cyril Rioli,Hawthorn,24,15,14.513,88.733,73.867,23,1.769,76.067,9.067,5.933,15,69.333,66.176,74.157,60.444,4.2,0.267,295.467,19.698,1.6,9.375,2.333,6.429,7.733,8.133,15.867,48.739,1.6,4.8,1.133,0.733,1.867,3.4,0.4,0.667,0.4,0.533,1.133,0.667,0.467,0.133,0.149,0.133,,0,,4.2,1.4,0.267,,1.667,28,19,1.267,0.933,2.267,1,55.882,7.667,26.559,0.933,1.867,2.067,14.867,0.467
Dale Morris,Western Bulldogs,31,22,9.195,63.5,48.136,9,0.409,95.773,5.545,6.045,11.591,83.529,80.328,86.466,47.843,0.455,1.909,110.682,9.549,1.318,8.793,1.591,7.286,5.591,6,11.591,48.235,6.318,3.682,0.136,0.045,0.182,3.773,0.682,0,1.545,0.045,1,0.727,0.273,0,0,0,,0,,2.318,0,4.636,25.49,0.091,,0,0,0,0,0,,1.591,6.849,0.5,0,7.045,7.182,5.545
Dale Thomas,Collingwood,26,5,9.38,79.2,75.2,7,1.4,73.4,12.2,9.6,21.8,75.229,68.852,83.333,55.963,1.6,2.2,311.2,14.275,3.6,6.056,3.8,5.737,7.2,14.6,21.8,33.028,4,5.2,0.2,1.6,1.8,4.8,0.4,0,0.6,0,1,1.2,-0.2,0,0,0,,0,,1.8,0,0.4,,0.6,,0,0,0.4,0.4,0.2,,5.2,19.403,1.2,1.4,1,10.2,0.8
Dan Hannebery,Sydney,22,24,11.708,92.125,86.542,70,3.333,84.833,11.458,13.833,25.292,70.181,57.455,80.723,45.305,3.375,1.208,323.375,12.786,2.875,8.797,4.292,5.893,10.292,14.833,25.125,40.962,4.042,8.375,1.042,2.292,3.333,3.333,0.208,0.583,0.333,0.333,1.042,0.875,0.167,0,0,0,,0,,2.792,0.417,0.208,,0.625,33.333,17,0.708,0.667,1.458,0.667,48.571,6,23.226,1.5,0.208,0.458,14.042,0.25
Dane Rampe,Sydney,23,23,8.026,60.261,53.087,4,0.2,82.435,8.913,4.13,13.043,75,71.22,83.158,68.333,1.783,3.043,316.174,24.24,1.957,6.667,2.957,4.412,3.826,8.609,12.435,30.769,4.565,3.304,0.043,0.174,0.217,2.913,0.174,0.043,0.913,0,0.391,0.609,-0.217,0,0,0,,0,,2.609,0.043,2.13,30.612,0.043,,1,0.043,0.087,0.217,0.087,,2.478,9.828,0.826,0.261,4.478,8.652,3.783
Dane Swan,Collingwood,29,23,15.674,116.826,117.652,77,3.5,84,18.957,12.217,31.174,63.738,55.963,75.801,60.809,5.174,2.13,524.304,16.819,3.043,10.243,5.696,5.473,11.522,19,30.522,37.749,3.217,8.348,2.435,2.522,4.957,5.696,0.522,1.261,0.348,0.739,0.652,0.522,0.13,0.043,0.052,0.043,,0,,3.435,0.391,0.261,,1.217,57.143,21,0.913,0.913,2.261,0.783,40.385,8.435,31.494,1.957,1.696,0.913,12.609,0.478
Daniel Cross,Western Bulldogs,30,13,9.031,88.462,89.615,1,0.077,84.385,9,13.615,22.615,77.551,70.085,82.486,39.796,2,1.231,210,9.286,2.077,10.889,3.846,5.88,8.923,13.769,22.692,39.322,4,6.462,0.846,1.692,2.538,5.462,0.538,0.154,1.077,0.231,1.077,0.692,0.385,0.462,0.478,0.462,,0.154,,4.385,0.077,0.385,,0.231,,4,0.308,0.154,0.538,0.385,,4.154,17.476,1.462,0,2.462,13.846,1.692
Daniel Giansiracusa,Western Bulldogs,31,20,9.36,72.65,70.1,6,0.3,70.8,9.25,5.3,14.55,71.478,64.865,83.019,63.574,2.75,0.45,223.85,15.385,1.15,12.652,2.5,5.82,4.55,9.95,14.5,31.379,1.25,2.9,0.2,0.25,0.45,4.6,0.5,1.65,0.15,1.5,0.95,0.6,0.35,0,0,0,,0,,1.8,0.65,0.05,,1.55,22.581,36,1.8,0.8,2.9,0.75,62.069,6.5,27.484,0.6,0.2,0.45,8.35,0.2
Daniel Gorringe,Gold Coast,21,9,7.167,61.667,55.222,0,0,83.889,5.111,6.667,11.778,75.472,67.391,81.667,43.396,1.111,0.889,133.556,11.34,1.556,7.571,2.333,5.048,5.111,6.889,12,42.593,0.889,3.667,0.333,1.778,2.111,2.667,0.222,0.222,0.111,0.111,1.111,0.556,0.556,41.111,47.315,11.333,27.568,2.667,23.529,1.444,0.111,0.333,,1.222,9.091,3,0.333,0,0.333,0.222,,4.222,18.095,1.889,0.111,1.778,12.444,1.222
Daniel Jackson,Richmond,27,23,12.809,91.739,90.087,46,2.091,81.609,13.739,8.565,22.304,66.082,56.962,80.711,61.598,4.13,1.13,401.826,18.016,2.913,7.657,4.696,4.75,9.522,12.957,22.478,42.36,2.565,6.304,1.304,2.348,3.652,4.348,0.13,0.435,0.391,0.261,1.087,1.13,-0.043,0.304,0.336,0.261,,0.043,,3.913,0.739,0.261,,0.739,29.412,18,0.783,0.391,1.391,0.435,56.25,6.174,22.72,1.261,0.261,1.478,14.826,0.565
Daniel Kerr,West Coast,30,10,11.62,81.7,68.3,7,0.7,73.5,9.5,11.2,20.7,71.498,68.421,74.107,45.894,1.9,1.1,236.7,11.435,1.9,10.895,2.3,9,11.2,9.9,21.1,53.081,2.3,7.1,2.1,3.3,5.4,1.7,0,0,0.1,0,1.2,0.7,0.5,0.1,0.104,0,,0,,2.7,0.1,0.2,,0.2,,4,0.4,0,0.4,0.3,,5.4,18.121,1.6,0.2,0.3,13.4,0.2
Daniel Merrett,Brisbane,29,17,9.159,71.118,56.529,2,0.118,90.765,7.706,4.588,12.294,74.02,66.929,85.714,62.679,0.529,1.824,172.938,13.564,2.412,5.098,2.125,6,5.471,7,12.471,43.868,4.812,3.312,0.118,0.294,0.412,4.941,1.294,1.118,1.375,0.562,0.882,1.471,-0.588,4.5,4.959,0.941,20.833,0.062,,1.647,0.188,2.75,36.364,1.875,30,14,0.824,0.471,1.438,0.118,56.522,3.5,13.759,0.938,0.294,5.529,7.188,4.75
Daniel Nicholson,Melbourne,23,11,5.664,61.091,63.182,0,0,80.182,8.182,5.909,14.091,62.581,61.111,64.615,58.065,1.364,1.727,254.091,18.032,1.727,8.158,2.818,5,4.636,9.636,14.273,32.484,1.727,3.818,0.273,0.909,1.182,4.364,0.091,0.364,0.273,0.455,0.455,0.727,-0.273,0,0,0,,0,,3.455,0.182,0.909,40,0.091,,2,0.182,0.545,0.818,0.091,,2.364,13.333,0.273,0.273,1.727,14.455,1.273
Daniel Rich,Brisbane,23,16,15.375,85.938,67.438,8,0.5,81.25,10.375,8.125,18.5,72.993,65.563,82.114,56.081,5,1.5,402.267,22.022,2.125,8.706,3.2,5.708,9.125,9.688,18.812,48.505,2.6,6.4,1.688,2.188,3.875,1.688,0.125,0,0.133,0.133,1.125,0.938,0.188,0,0,0,,0,,2.812,0.2,0.4,,0.2,,13,0.812,0.562,1.6,1,54.167,5.4,21.658,1.467,0.062,2.125,10.467,1
Daniel Stewart,Port Adelaide,25,1,2.4,23,15,0,0,82,2,2,4,,,,,1,0,50,,1,4,0,,3,1,4,,1,1,0,0,0,2,2,1,0,0,0,1,-1,2,2.247,1,,0,,0,0,2,,2,,0,0,1,1,1,,2,8.696,0,0,1,4,1
Daniel Talia,Adelaide,22,22,9.091,56.318,46.091,9,0.409,91.455,6.5,4.682,11.182,79.268,74.126,86.408,58.13,0.864,1.909,171.955,15.378,1.818,6.15,1.5,7.455,4.091,6.818,10.909,37.5,4.864,3.045,0,0.045,0.045,4.227,0.636,0.091,1.182,0.045,0.364,1,-0.636,0,0,0,,0,,1.591,0,4.364,22.917,0.091,,3,0.136,0,0.136,0,,2.455,9.326,0.955,0.045,6.909,6.364,6.591
Daniel Wells,North Melbourne,28,22,14.605,96.136,83.136,45,2.045,77.909,13.227,8.045,21.273,71.778,63.475,85.714,62.179,4.591,1.318,393.619,18.369,2.182,9.75,3.667,5.844,8.409,13,21.409,39.278,2.286,5.286,1.682,2.773,4.455,3.636,0.136,0.636,0.286,0.667,1.045,0.727,0.318,0.762,0.835,0.864,,0.143,,2.364,0.238,0.143,,0.286,,25,1.136,0.455,2,0.818,57.143,7,25.477,1.429,1.091,1.364,14.19,0.333
Danny Stanley,Gold Coast,25,18,10.061,81.333,82.944,8,0.444,85.333,9.944,10.944,20.889,76.064,68.156,83.249,47.606,2.167,1.556,246.222,11.787,2.222,9.4,2.944,7.094,7.833,13,20.833,37.6,3.111,5.944,1.278,1.333,2.611,4.944,0.556,0.556,0.944,0.056,0.5,0.889,-0.389,0.167,0.187,0.167,,0.056,,3.667,0.556,0.222,,0.389,,10,0.556,0.389,1.111,0.167,50,4.944,19.911,1.389,0.556,0.833,11.667,0.556
Danyle Pearce,Fremantle,27,25,9.508,80.2,80.04,7,0.318,76.88,13.04,7.28,20.32,66.94,61.812,75.843,64.173,4.36,1.64,414.458,20.425,1.96,10.367,4.042,5.021,6.84,13.88,20.72,33.012,2.583,5.625,0.44,1.84,2.28,3.6,0.04,0.12,0.125,0.167,0.64,0.64,0,0,0,0,,0,,3.4,0.458,0.167,,0.208,,10,0.4,0.84,1.542,0.52,27.027,5.375,22.241,1.333,0.8,0.56,14.875,0.125
Darren Glass,West Coast,32,20,10.305,67.4,56.3,8,0.4,90,7.1,5.8,12.9,80.233,76.761,84.483,55.039,0.7,1.85,130.55,10.12,1,12.9,1.6,8.062,6.05,6.85,12.9,46.899,7.05,3.65,0.05,0.2,0.25,4.85,1.3,0.05,2.55,0,0.85,0.5,0.35,0.25,0.26,0.1,,0,,2.35,0.05,2.95,25.424,0.2,,0,0,0,0,0.1,,2.25,8.738,1.15,0.35,4.25,9.4,3.3
Darren Jolly,Collingwood,32,9,8.089,89.889,79.889,1,0.111,75.333,5.333,6.444,11.778,79.245,72.917,84.483,45.283,1.333,0.333,98.667,8.377,2.222,5.3,1.333,8.833,5.778,6.333,12.111,47.706,2.444,2.333,0.778,1.778,2.556,4.444,1,0.556,1.111,0.333,1.778,1.556,0.222,53.778,64.879,23.222,43.182,6.556,28.23,3.556,0.667,0.556,,1.889,11.765,4,0.444,0.444,0.889,0.444,,4.222,15.574,2.444,0.111,1.778,10.667,1
Darren Minchington,St Kilda,20,2,6.85,41,44.5,0,0,78,5,3.5,8.5,,,,,1,0.5,125.5,,0.5,17,1.5,5.667,3.5,4.5,8,,1.5,2.5,0,0.5,0.5,4,1,0.5,0.5,0,0,0,0,0,0,0,,0,,1,0,0.5,,2,,2,1,0.5,1.5,0,,3.5,17.5,0,0,0,18,0
David Armitage,St Kilda,25,21,12.171,92.429,87.429,21,1,77.238,11.81,9.952,21.762,70.022,58.065,84.211,54.267,3.81,1.524,360.381,16.56,3.286,6.623,3.81,5.713,9.619,12.19,21.81,44.105,2.476,6.857,1.524,2.286,3.81,3.381,0.238,0.333,0.286,0.048,1.571,1.619,-0.048,0,0,0,,0,,5.476,0.905,0.429,,0.429,,10,0.476,0.476,1.19,0.667,40,5.571,24.894,1.238,1.143,1,15.81,0.667
David Astbury,Richmond,22,5,6.68,53,39,0,0,74.2,6,4.4,10.4,84.615,83.333,86.364,57.692,0.2,2.4,133.8,12.865,0.6,17.333,1.4,7.429,3.4,7.2,10.6,32.075,3.6,2.4,0,0.4,0.4,3.6,0.2,0,1,0,0.4,0.2,0.2,0,0,0,,0,,0.4,0,4.4,31.818,0.2,,0,0,0,0,0,,2.6,8.904,1.2,0.8,4.8,5,4.4
David Ellard,Carlton,24,3,3.767,45.333,52.333,0,0,56.333,6.333,3.667,10,56.667,,,63.333,2,0.667,152,15.2,2,5,2.667,3.75,5.667,5,10.667,53.125,1.667,2.667,0,2.333,2.333,1.333,0,0,0,0.333,1.333,0.667,0.667,0,0,0,,0,,5.667,0.667,0.333,,0.333,,0,0,0,0,0,,1.667,6.024,0.333,0,0.667,16,0
David Hale,Hawthorn,29,24,8.6,84.375,73.333,6,0.286,85.375,5.792,7.25,13.042,70.607,58.993,79.885,44.409,1.667,0.417,128.833,9.879,2.167,6.019,1.792,7.279,7.708,5.833,13.542,56.923,1.5,4.375,0.792,1.458,2.25,4.083,1.333,1.333,0.375,0.417,1,1.583,-0.583,43.333,46.449,16.875,38.942,4.208,24.938,2.5,0.708,0.25,,2.625,25.397,20,0.833,1.083,2.042,0.625,40.816,6.5,22.003,2.208,0,2,9.458,1.083
David Hille,Essendon,32,4,7.575,68.5,67.75,0,0,82.5,8,6.75,14.75,62.712,50,77.778,54.237,2.5,0,199.25,13.508,1.75,8.429,2,7.375,7.25,6.75,14,51.786,1.25,4.75,1,2,3,3.25,0.75,0.75,0.25,0,1.5,1,0.5,40.25,51.768,15.5,38.509,4,25.806,1,0.5,0.5,,3.25,0,1,0.25,1,1.25,0.75,,6,20.168,2,0,0.75,4.75,0.75
David Mackay,Adelaide,25,19,8.942,66.632,67.316,1,0.053,75.421,9.053,7.526,16.579,74.286,69.186,80.42,54.603,2.263,1.211,270.842,16.337,2.105,7.875,2.368,7,5.474,11,16.474,33.227,3.316,4.211,0.105,0.632,0.737,3.526,0.105,0.105,0.211,0.211,0.842,0.842,0,0.053,0.058,0.053,,0,,3.474,0.316,0.368,,0.368,,6,0.316,0.368,0.737,0.474,42.857,5.211,19.643,1,0.947,0.684,15.895,0.421
David Mundy,Fremantle,28,22,12.895,104.318,98.136,54,2.842,77.318,14.455,9.727,24.182,66.862,58.306,79.612,59.774,4.318,1.955,434.048,17.768,2.909,8.312,4.286,5.7,11.364,13.364,24.727,45.956,2.095,7.571,2.182,3.818,6,4.091,0.318,0.318,0.286,0.714,0.909,1,-0.091,1.095,1.202,1,95.652,0.381,36.364,5.455,0.476,0.143,,0.333,,7,0.318,0.409,0.905,0.545,36.842,5.952,23.02,1.952,0.227,1.227,16.238,0.571
David Myers,Essendon,24,20,9.335,74.05,76.65,2,0.1,75.25,11,7.35,18.35,71.591,64.455,82.27,59.946,3.85,1.5,360.158,19.44,2.1,8.738,3.789,4.889,6.55,12,18.55,35.31,2.526,4.684,0.8,1.4,2.2,4.3,0,0.35,0.263,0.211,0.45,0.55,-0.1,0.158,0.173,0.15,,0.053,,3.4,0.421,0.368,,0.316,,10,0.5,0.5,1.158,0.5,45.455,5.316,19.498,1,0.75,1.2,13.263,0.684
David Rodan,Melbourne,30,9,10.733,67.444,55.444,0,0,61.333,6.222,7.667,13.889,72.8,67.857,76.812,44.8,2.333,1.111,183.444,13.208,1.556,8.929,1.556,8.929,7.889,6.222,14.111,55.906,2,5.778,1.222,2.444,3.667,1.667,0.111,0.111,0.333,0,1,0.889,0.111,0.111,0.122,0,,0,,4.111,0.889,0.222,,0.111,,2,0.222,0.333,0.556,0.667,,3.333,18.182,1.333,2.444,0.778,17,0.111
David Swallow,Gold Coast,21,18,10.25,79.611,69.556,16,0.889,81.111,10.833,8.444,19.278,70.317,64.615,77.632,56.196,2.833,2.556,314.333,16.305,2.389,8.07,4.167,4.627,8.5,10.667,19.167,44.348,4,6.833,0.667,1.611,2.278,2.611,0.278,0.167,0.278,0.167,0.556,1,-0.444,0.111,0.124,0.111,,0,,3.389,0.278,0.611,54.545,0.167,,3,0.167,0.111,0.444,0.333,,3.556,14.545,0.944,0.833,1.556,13.389,0.889
David Zaharakis,Essendon,23,21,11.219,85.048,81.952,30,1.429,77.238,12.667,9.952,22.619,67.033,55.078,82.412,56,3.905,1.714,343.2,15.086,1.905,11.875,3.95,5.759,8.524,14.143,22.667,37.605,2.5,6.65,1.19,2.143,3.333,3.476,0.048,0.333,0.1,0.25,0.286,0.619,-0.333,0,0,0,,0,,2.952,0.25,0.2,,0.35,,9,0.429,0.81,1.4,0.333,32.143,6.1,22.719,1.35,0.619,0.857,14.3,0.35
Dawson Simpson,Geelong,24,6,8.483,88.667,70.333,0,0,63.667,3.667,6.167,9.833,74.576,72.727,75.676,37.288,0.833,0.5,98.333,10,1.5,6.556,1.167,8.429,6.167,3.833,10,61.667,1.5,3.833,1,1.333,2.333,3.5,1,0.5,0.5,0.167,0.5,1,-0.5,60.333,63.066,29.833,49.448,7.5,25.14,2,0.5,0.833,,0.5,,1,0.167,0.167,0.5,0.5,,3.5,12.209,2.167,0,3.333,9.667,2.833
Dayne Beams,Collingwood,23,8,14.075,107.25,104.125,7,1,85.5,13.625,14.875,28.5,76.754,62.385,89.916,47.807,4.375,1,347.5,12.193,3.5,8.143,5,5.7,12.875,15.375,28.25,45.575,2.25,9.625,2,4.75,6.75,4.625,0.25,0.5,0.25,0.375,1.875,0.875,1,0,0,0,,0,,3.875,0.875,0.125,,0.75,,6,0.75,0.375,1.375,0.75,54.545,7.875,29.439,2.25,0.375,0.625,16.5,0.375
Dayne Zorko,Brisbane,24,22,12.227,82.909,73.818,18,0.818,83.364,8.773,6.318,15.091,67.712,61.29,76.692,58.133,3.182,0.636,299.524,19.718,2.273,6.64,2.524,6.019,7.045,8.136,15.182,46.407,2.238,5.19,0.591,1.227,1.818,2.591,0.182,0.773,0.238,0.333,1.091,1.227,-0.136,0.095,0.104,0.091,,0,,5.318,1.333,0.381,,1.095,17.391,26,1.182,1.227,2.762,0.773,43.103,5.857,23.883,1,0.955,1.227,25.905,0.476
Dean Brogan,Greater Western Sydney,35,10,10.13,85.8,60.7,0,0,83.9,5.5,5,10.5,78.095,70.909,86,52.381,1.6,0.3,112.7,10.733,2.7,3.889,2.6,4.038,7.5,4.7,12.2,61.475,2,3.1,1.2,1.4,2.6,3.1,0.6,0.5,0.6,0.5,2.3,2.2,0.1,43.8,48.344,17.9,40.868,5.6,31.285,2.3,0.5,0.6,,1.2,16.667,3,0.3,0.3,0.7,0.3,,3.7,19.681,1.7,0,3.6,9.8,2.4
Dean Cox,West Coast,32,22,11.468,107.318,97.045,23,1.045,82.909,9.5,6.364,15.864,70.201,64.593,78.571,59.885,1.773,1.591,230.409,14.524,2.227,7.122,2.773,5.721,7.909,8.136,16.045,49.292,2.5,4.091,0.818,2.409,3.227,5.364,1.136,0.773,0.818,0.409,1.773,1,0.773,53.591,55.93,27.136,50.636,7.727,28.476,2.364,0.318,0.455,20,2.5,36.364,13,0.591,0.818,1.545,0.545,38.235,5.955,23.268,2.955,0.409,1.318,9.318,0.909
Dean Kent,Melbourne,19,15,5.907,43.533,44.533,0,0,68,7.067,2.8,9.867,60.135,59.434,61.905,71.622,3.067,0.267,233.733,23.689,1.667,5.92,3,3.289,3.8,6.133,9.933,38.255,1.333,2.933,0,0.4,0.4,2.667,0.133,0.4,0.2,0.467,0.467,0.667,-0.2,0,0,0,,0,,1.733,0.333,0.2,,1.333,15,10,0.667,0.333,1.6,0.267,41.667,2.733,14.539,0.133,0.733,0.733,11,0.467
Dean Terlich,Melbourne,24,20,7.32,78.7,80.25,3,0.15,92.05,12.2,7.55,19.75,73.671,73.361,74.172,61.772,1.15,3.45,316.15,16.008,2.75,7.182,3.55,5.563,5.5,12.7,18.2,30.22,5.2,4.05,0.2,0.6,0.8,5.15,0.4,0,1.2,0.1,0.95,0.65,0.3,0,0,0,,0,,3.5,0.05,1.05,19.048,0.15,,0,0,0.1,0.1,0.2,,2.7,13.918,0.95,0.45,2.55,13.35,2.05
Dennis Armfield,Carlton,27,24,8.762,58.792,53.625,7,0.318,85.5,8.125,6,14.125,65.782,56.41,78.472,57.522,2.5,0.542,222.75,15.77,2,7.062,2.75,5.136,6.042,7.875,13.917,43.413,2.25,5.083,0.375,0.875,1.25,2.292,0.167,0.5,0.208,0.25,0.417,0.792,-0.375,0.042,0.044,0.042,,0,,1.917,0.458,0.333,,0.792,15.789,17,0.708,0.375,1.25,0.542,56.667,4.083,15.008,0.625,0.458,1.292,13,0.667
Devon Smith,Greater Western Sydney,20,18,10.528,70,73.889,8,0.444,84.167,10.056,6.333,16.389,64.068,55.801,77.193,61.356,3.667,1.056,320.222,19.539,2.611,6.277,3.889,4.214,6.389,9.944,16.333,39.116,1.833,4.778,0.5,1.722,2.222,2.722,0,0.389,0.111,0.444,0.833,0.722,0.111,0.278,0.294,0.278,,0.111,,4.5,0.889,0.167,,0.556,0,16,0.889,0.611,2.389,0.278,37.209,4.611,24.198,0.889,1.167,0.667,24,0.5
Dion Prestia,Gold Coast,21,20,12.795,97.5,96.6,42,2.1,82.05,14.6,10.85,25.45,69.155,61.986,78.802,57.367,3.8,3.4,462.55,18.175,3.3,7.712,5.15,4.942,9.55,15.4,24.95,38.277,3.05,7.05,1.7,2.7,4.4,3.9,0.15,0.25,0.05,0.25,1.35,0.75,0.6,0,0,0,,0,,4.3,0.4,0.1,,0.25,,9,0.45,0.4,1.15,0.5,39.13,6.05,24.744,1.55,0.75,1,19.2,0.25
Dom Cassisi,Port Adelaide,31,12,7.675,61.667,55.083,3,0.3,73.833,6.583,7.25,13.833,69.88,63.291,75.862,47.59,1.5,1.25,149.167,10.783,1.833,7.545,2.417,5.724,6.75,7.25,14,48.214,3.667,5.75,0.667,1.167,1.833,2,0.167,0.083,0.333,0,0.667,0.667,0,0.167,0.177,0.167,,0,,4,0.5,0.833,40,0.083,,0,0,0,0,0.167,,3.167,13.475,1.083,0,1.083,12.583,0.833
Dom Tyson,Greater Western Sydney,20,3,4.633,44.667,51,0,0,69.667,6.667,6.667,13.333,72.5,55,90,50,1.333,1,191.667,14.375,1.333,10,2.667,5,3.667,9.667,13.333,27.5,1.333,2,1.667,1,2.667,2.667,0,0,0.333,0,0,0,0,0,0,0,,0,,2.333,0.333,0,,0.667,,0,0,0.333,0.333,1,,2.667,17.021,0.333,0.333,0.667,17,0
Drew Petrie,North Melbourne,31,22,13.641,102.773,85.727,38,1.727,98.545,10.455,3.591,14.045,74.915,69.406,90.789,74.434,2.364,0.5,234.524,16.695,1.182,11.885,1.952,7.195,7.318,7,14.318,51.111,1.333,3.238,0.273,0.864,1.136,6.045,1.818,2.273,0.476,1.905,2,0.545,1.455,10.905,11.946,3.273,30.568,0.667,20,2.864,1.095,0.238,,4.667,32.653,48,2.182,0.864,3.429,0.682,59.722,6.619,24.09,0.762,0.136,2.864,11.476,2
Dustin Fletcher,Essendon,38,13,9.354,65.769,58.846,1,0.077,88.846,11.615,3.615,15.231,81.579,77.551,95.349,76.263,0.615,5.154,355.667,22.463,1.615,9.429,3.417,4.634,2.769,10.154,12.923,21.429,4.5,1.75,0,0.077,0.077,4.846,0.154,0,1.25,0.083,0,0.692,-0.692,0,0,0,,0,,1.077,0,2.75,33.333,0,,0,0,0,0,0.077,,3.917,14.596,1.667,0.154,5,5.5,3.917
Dustin Martin,Richmond,22,23,11.096,100.391,95.652,58,2.636,81.565,16.609,7.609,24.217,69.12,61.257,86.286,68.582,3.957,1.522,423.87,17.503,2.739,8.841,3.609,6.711,7.043,17.522,24.565,28.673,1.913,5.174,0.826,1.696,2.522,4.783,0.261,0.609,0.087,0.304,0.435,0.913,-0.478,0.217,0.24,0.217,,0.174,,2.739,0.435,0.13,,1.174,25.926,23,1,1.391,2.609,0.565,38.333,7.696,28.32,1.348,1.391,0.913,12.087,0.348
Dylan Addison,Western Bulldogs,26,12,6.642,52.667,50.917,4,0.333,85,5.167,5,10.167,70.492,59.677,81.667,50.82,1.333,0.167,126.75,12.467,1.667,6.1,1.75,5.81,5.667,4.833,10.5,53.968,1.833,3.167,0,0.25,0.25,3.667,1.333,1.417,0.25,0.833,0.667,0.833,-0.167,0,0,0,,0,,2.333,1,0.417,,3.667,38.636,12,1,0.917,2.083,0.167,48,4.167,17.065,0.5,0.167,1.333,10.75,0.917
Dylan Buckley,Carlton,20,1,6.5,31,22,0,0,53,2,3,5,,,,,0,0,61,,0,,0,,1,4,5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1,0,0,,0,,1,1,0,1,0,,4,14.286,1,0,0,10,0
Dylan Grimes,Richmond,22,9,4.622,46.111,42.889,0,0,72.778,6.444,3.444,9.889,73.034,68.966,80.645,65.169,0.778,1.778,144.778,14.64,1.667,5.933,1.556,6.357,3.333,6.333,9.667,34.483,3.778,2.111,0.111,0.222,0.333,3.778,0.444,0,1,0,0.667,0.667,0,0,0,0,,0,,1.667,0,1.111,10,0.222,,0,0,0,0,0,,1.556,5.622,0.333,0.556,3.556,7.556,2.778
Dylan Roberton,St Kilda,22,20,8.71,75,66.15,4,0.2,84.25,10.3,6.7,17,75.294,68.447,85.821,60.588,1.45,3.9,308.8,18.165,1.75,9.714,3,5.667,5.3,10.6,15.9,33.333,5.55,4.1,0.1,0.35,0.45,4.7,0.35,0.05,1.3,0.1,0.6,0.4,0.2,0.1,0.115,0.1,,0,,1.9,0.05,1.25,24,0.1,,2,0.1,0.05,0.15,0.15,,3.5,15.419,1.5,2.2,2.85,8.65,2.45
Dylan Shiel,Greater Western Sydney,20,21,11.057,75.524,72.048,16,0.762,79.238,9.238,10.333,19.571,70.316,60.309,79.263,47.202,3.381,1.143,294.81,15.063,2.619,7.473,3.238,6.044,8.333,11.333,19.667,42.373,2.333,6.429,1.619,1.81,3.429,2.952,0.19,0.19,0.333,0.048,0.571,0.952,-0.381,0.143,0.152,0.095,,0,,3.333,0.286,0.333,,0.429,,11,0.524,0.524,1.429,0.476,36.667,4.286,22.222,0.905,0.81,0.667,16,0.238
Dyson Heppell,Essendon,21,19,10.995,91.105,95,37,1.947,79.895,14.158,10.105,24.263,62.332,51.527,77.717,58.351,4.632,1.211,410.667,16.574,2.632,9.22,5.5,4.505,10.158,14.421,24.579,41.328,3.111,7,1.947,2.368,4.316,4.632,0.526,0.263,0.778,0.278,0.947,0.579,0.368,0.5,0.547,0.526,,0.111,,3.895,0.222,0.444,,0.444,,8,0.421,0.579,1.389,0.316,28,6.222,23.045,1.444,0.105,1,15.056,0.611
Easton Wood,Western Bulldogs,24,5,2.64,40,37.2,0,0,63,5.4,5.4,10.8,72.222,62.963,81.481,50,2,2,205,18.981,2.4,4.5,1.4,7.714,3.6,6.8,10.4,34.615,3,3.2,0.2,0.4,0.6,2.6,0,0.2,0.4,0.2,0.4,1.2,-0.8,0,0,0,,0,,1,0.2,1.4,,0.2,,1,0.2,0.4,1,0.2,,3,10.638,0.8,1.2,1.6,5.2,1.6
